// Informa��es sobre plano de fundo do level
// Componentes RGB entre 0 e 1
// background    color_R  color_G  color_B
   background2        0.2      0.2        1


// Informa��es sobre a posi��o inicial dos jogadores
// posX e posY s�o as posi��es do centro do player
// posXFireboy    posYFireboy    posXWatergirl    posYWatergirl    scale
           100             930             100             850       0.2

// Informações sobre o mundo
// Largura      Altura
       1436        1040


// Informa��es sobre as entidades do mundo
//
// posX e posY s�o as posi��es do centro da plataforma
// posZ:
//             profundidade da plataforma (defualt = LAYER::UPPER)
//             Layer::FRONT  = F
//             Layer::UPPER  = U
//             Layer::MIDDLE = M
//             Layer::LOWER  = L
//             Layer::BACK   = B (n�vel de profundidade do background)
// rotation: 
//             rota��o das plataforma em graus (default = 0)
// scale: 
//             escala da plataforma (default = 1)
// color RGB: 
//             componentes RGB entre 0 e 1 (default = branco)
// 
// d - valor default para coluna
//
// EntityType:
//            0 - ch�o (1)
//            1 - Plataforma madeira (1)
//            2 - Plataforma madeira (2)
//            3 - Plataforma madeira (3)
//            4 - Plataforma madeira (4)
//            5 - Plataforma madeira (5)
//            6 - Caixa de madeira (movivel)
//            7 - Plataforma madeira (6)
//            8 - Port�o fogo
//            9 - Port�o �gua
//            10 - Espinho (1)
//            11 - Espinho (2)
//            12 - Espinho (3)
//            13 - Plataforma madeira que se move no eixo x
//            14 - Plataforma madeira que se move no eixo y
//            15 - Parada plataforma
//            16 - Port�o gen�rico
//            17 - Plataforma madeira girat�ria
//
//  posX    posY    posZ   EntityType   scale   rotation   color_R  color_G  color_B
     0       1000       d            7     1.0          d         d        d        d
     250     1000       d            7     1.0          d         d        d        d
     500     1000       d             7     1.0          d         d        d        d
     700     1000       L           25     1.2          d         d        d        d
     900     1000       d            7     1.0          d         d        d        d
     1000     290       d            7     1.0          270       d        d        d 
     1000     540       d            7     1.0          270       d        d        d 
     1000     790       d            7     1.0          270       d        d        d 
     1000     850       d            7     1.0          270       d        d        d 
     1000     50        d            7     1.0          270       d        d        d
     1000     30        d            7     1.0          270       d        d        d
     
     //
     16     850        d            7     1.0          90        d        d        d
     16     600        d            7     1.0          90        d        d        d
     16     400        d            7     1.0          90        d        d        d
     16     150        d            7     1.0          90        d        d        d
     16     70         d            7     1.0          90        d        d        d
     //                             
      0        0       d            7     1.0           180       d        d        d
      250      0       d            7    1.0            180       d        d        d
      500      0       d            7     1.0           180       d        d        d
      750      0       d            7     1.0           180       d        d        d
      900      0       d            7     1.0           180       d        d        d
    
     // ANDAR 1                   
     98     870       d             4     1.0         d          d        d        d
     500    955       d             10    0.8         d          d        d        d
     920     940       d            2     1.5         d          d        d        d
     60      700       d            0     0.8         d          d        d        d
     86      700       d            0     0.8         d          d        d        d
    112      700       d            0     0.8         d          d        d        d
    128      700       d            0     0.8         d          d        d        d
    154      700       d            0     0.8         d          d        d        d
    180      700       d            0     0.8         d          d        d        d
    206      700       d            0     0.8         d          d        d        d
    300      680       L            24    1.4         d          d        d        d
    260      700       d            4     0.9         d          d        d        d
    340      700       d            4     0.9         d          d        d        d
    60       660       d            0     0.8         d          d        d        d
    80      660       d             0     0.8         d          d        d        d
    140      645       d            6     0.6         d          d        d        d
    480      700       d            7     0.8         d          d        d        d
    550      700       d            7     0.8         d          d        d        d
    810      800       d           14     1.0         d          d        d        d
    810      900       d           15     1.0         d          d        d        d
    280      540       d            1     1.0         d          d        d        d
    100      460       d            1     1.0         d          d        d        d
    //ANDAR 2                      
    100      285       d           15     1.0        d         d        d        d
    100      425       d           15     1.0        d         d        d        d
    340      340       d           10     0.8        d         d        d        d
    460      340       d           10     0.8        d         d        d        d
    258      380       d            0     0.8         d          d        d        d
    284      380       d            0     0.8         d          d        d        d
    310      380       d            0     0.8         d          d        d        d
    336      380       d            0     0.8         d          d        d        d
    362      380       d            0     0.8         d          d        d        d
    388      380       d            0     0.8         d          d        d        d
    414      380       d            0     0.8         d          d        d        d
    440      380       d            0     0.8         d          d        d        d
    466      380      d            0     0.8         d          d        d        d
    492      380       d            0     0.8         d          d        d        d
    518      380       d            0     0.8         d          d        d        d
    544      380       d            0     0.8         d          d        d        d
    569      380       d            0     0.8         d          d        d        d
    670      411       M            7     0.8        19          d        d       d
    850     440       d            7     0.8         d          d        d       d
    870     440       d            7     0.8         d          d        d       d

    // ANDAR 3                     
    830      300       d           17     1.0         d          d        d       d
    646      240       M            7     0.7         25         d        d       d
    576      210       d            0     0.8          d         d        d       d
    550      210       d            0     0.8          d         d        d       d
    524      210       d            0     0.8          d         d        d       d
    498      210       d            0     0.8          d         d        d       d
    465      200       d            6     0.4          d         d        d       d
    454      232       d            1     1.0          d         d        d       d
    392      232       d            1     1.0          d         d        d       d
    330      232       d            1     1.0          d         d        d       d
    268      232       d            1     1.0          d         d        d       d
    206      232       d            1     1.0          d         d        d       d
    144      232       d            1     1.0          d         d        d       d
    82       232       d            1     1.0          d         d        d       d
    168      222       d            24    1.2          d         d        d       d
    128      222       d            24     1.2          d         d        d       d

    //ANDAR 4                     
    930      130       d            4     0.8         d          d        d       d
    855      130       d            4     0.8         d          d        d       d
    780      130       d            4     0.8         d          d        d       d
    900      80        d            9     0.15        d          d        d       d
    825      80       d             8     0.15        d          d        d       d
    400      105       d             13    0.8         d          d        d       d
