// Info// Informações sobre plano de fundo do level
// Componentes RGB entre 0 e 1
// background    color_R  color_G  color_B
   Background          d        d        d


// Informações sobre a posição inicial dos jogadores
// posX e posY são as posições do centro do player
// posXFireboy    posYFireboy    posXWatergirl    posYWatergirl    scale
           100           1314             180             1314       0.2

// Informações sobre o mundo
// Largura      Altura
      1500        1500

// Informações sobre as entidades do mundo
//
// posX e posY são as posições do centro da plataforma
// posZ:
//             profundidade da plataforma (defualt = LAYER::UPPER)
//             Layer::FRONT  = F
//             Layer::UPPER  = U
//             Layer::MIDDLE = M
//             Layer::LOWER  = L
//             Layer::BACK   = B (nível de profundidade do background)
// rotation: 
//             rotação das plataforma em graus (default = 0)
// scale: 
//             escala da plataforma (default = 1)
// color RGB: 
//             componentes RGB entre 0 e 1 (default = branco)
// 
// d - valor default para coluna
//
// EntityType:
//            0 - chão (1)
//            1 - Plataforma madeira (1)
//            2 - Plataforma madeira (2)
//            3 - Plataforma madeira (3)
//            4 - Plataforma madeira (4)
//            5 - Plataforma madeira (5)
//            6 - Caixa de madeira (movivel)
//            7 - Plataforma madeira (6)
//            8 - Portão fogo
//            9 - Portão água
//            10 - Espinho (1)
//            11 - Espinho (2)
//            12 - Espinho (3)
//            13 - Plataforma madeira que se move no eixo x
//            14 - Plataforma madeira que se move no eixo y
//            15 - Parada plataforma
//            16 - Portão genérico
//            17 - Plataforma madeira giratória
//            18 - piso de pedra
//            19 - plataforma metal 1
//            20 - plataforma metal eixo y
//            21 - bloco metal
//            22 - rampa
//

//  posX    posY   posZ  EntityType   scale   rotation   color_R  color_G  color_B
    // BORDAS
    1468       0      d           7     1.0        270         d        d        d 
    1468     250      d           7     1.0        270         d        d        d 
    1468     500      d           7     1.0        270         d        d        d 
    1468     750      d           7     1.0        270         d        d        d
    1468    1000      d           7     1.0        270         d        d        d 
    1468    1250      d           7     1.0        270         d        d        d
    1468    1500      d           7     1.0        270         d        d        d
            
      32       0      d           7     1.0         90         d        d        d
      32     250      d           7     1.0         90         d        d        d
      32     500      d           7     1.0         90         d        d        d
      32     750      d           7     1.0         90         d        d        d
      32    1000      d           7     1.0         90         d        d        d
      32    1250      d           7     1.0         90         d        d        d
      32    1500      d           7     1.0         90         d        d        d
                                 
       0       0      d           7     1.0        180         d        d        d
     250       0      d           7     1.0        180         d        d        d
     500       0      d           7     1.0        180         d        d        d
     750       0      d           7     1.0        180         d        d        d
    1000       0      d           7     1.0        180         d        d        d
    1250       0      d           7     1.0        180         d        d        d
    1500       0      d           7     1.0        180         d        d        d

    // ANDAR 0
       0    1436      d           7     1.0          d         d        d        d
     250    1436      d           7     1.0          d         d        d        d
     440    1436      d          25     1.0          d         d        d        d
     628    1436      d           7     1.0          d         d        d        d
     878    1436      d           7     1.0          d         d        d        d
    1128    1436      d           7     1.0          d         d        d        d
    1358    1436      d           7     1.0          d         d        d        d
    1628    1436      d           7     1.0          d         d        d        d

     620    1388      d          11     1.0          d         d        d        d
     780    1380      d           6     0.5          d         d        d        d

    1000    1380      d          21     1.5          d         d        d        d
    1000    1335      d          21     1.5          d         d        d        d
    1000    1290      d          21     1.5          d         d        d        d
    1045    1380      d          21     1.5          d         d        d        d
